"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00102404","1981","47.6781","9.1908","443.0","KONSTANZ, GM","    110.0","","     110.0","E","       184","E","       100","E","         3","E","       53","","         0","E","        89","E","        24","E","        92","E","         0","E","  -10.5","E,1220, ","   150"," ,E,1219, ","  46.4"," ,E,0928, ","   30.1","E,0804,+","-0.1","E,1025","-4.0","E,1109","-4.5","E,1117","-8.5","E,1219","-10.5","E,1220","-1.4","E,0419","-5.0","E,0228","-5.0","E,0228","-6.7","E,0215","-9.1","E,0108","    3447.2","2","    3447.2","E","    965.0"," ,E","      9.53","E","     13.54","E","      5.51","E"
"GME00102404","1982","47.6781","9.1908","443.0","KONSTANZ, GM","    163.9","","     163.9","E","       163","E","        96","E","         1","E","       30","","         0","E","        66","E","        16","E","       100","E","         0","E","   -8.3","E,0114, ","   260"," ,E,0111, ","  43.2"," ,E,0724, ","   31.2","E,0716, ","-0.5","E,1107","-2.3","E,1225","","","","","","","-0.4","E,0316","-2.5","E,0315","-6.0","E,0228","-6.9","E,0227","","","    3359.5","5","    3359.5","E","    912.7"," ,E","     10.05","E","     13.94","E","      6.16","E"
"GME00102404","1983","47.6781","9.1908","443.0","KONSTANZ, GM","    232.0","","     232.0","E","       159","E","        75","E","         3","E","       26","","         0","E","        78","E","        23","E","       104","E","         7","E","  -10.1","E,0223, ","   150"," ,E,0404, ","  55.3"," ,E,0621, ","   36.0","E,0727, ","-0.4","E,1025","-3.5","E,1114","-5.9","E,1115","-7.1","E,1203","","","-0.8","E,0330","-3.5","E,0225","-8.5","E,0224","-8.5","E,0224","-10.1","E,0223","    3028.3","3","    3028.3","E","    715.6"," ,E","     10.21","E","     14.36","E","      6.06","E"
"GME00102404","1984","47.6781","9.1908","443.0","KONSTANZ, GM","     83.1","","      83.1","E","       165","E","        75","E","         5","E","       19","","         0","E","        86","E","        13","E","        79","E","         2","E","   -8.5","E,0218, ","   120"," ,E,0122, ","  58.8"," ,E,0726, ","   34.3","E,0711, ","0.0","E,1128","-2.2","E,1220","-5.4","E,1231","","","","","-0.5","E,0405","-2.6","E,0320","-5.4","E,0312","-7.2","E,0220","","","    3423.2","2","    3423.2","E","    867.6"," ,E","      9.25","E","     13.11","E","      5.38","E"
"GME00102404","1985","47.6781","9.1908","443.0","KONSTANZ, GM","    127.6","","     127.6","E","       146","E","        79","E","         1","E","       64","","         1","E","        99","E","        40","E","       100","E","         2","E","  -18.4","E,0109, ","   170"," ,E,0124, ","  26.5"," ,E,0507, ","   32.5","E,0814, ","-0.1","E,1025","-2.8","E,1112","-4.8","E,1118","","","","","-0.2","E,0504","-3.7","E,0321","-5.6","E,0223","-11.2","E,0221","-11.2","E,0221","    3469.6","6","    3469.6","E","    737.0"," ,E","      9.05","E","     13.21","E","      4.88","E"
"GME00102404","1986","47.6781","9.1908","443.0","KONSTANZ, GM","    155.0","","     155.0","E","       155","E","        89","E","         5","E","       39","","         0","E","        83","E","        34","E","        89","E","         1","E","  -13.7","E,0210, ","   350"," ,E,0224, ","  54.1"," ,E,0718, ","   33.2","E,0803, ","-0.6","E,1104","-2.7","E,1129","-5.0","E,1222","-7.9","E,1224","-9.6","E,1225","-0.7","E,0414","-3.3","E,0413","-5.3","E,0304","-7.1","E,0301","-13.2","E,0227","    3424.5","5","    3424.5","E","    994.8"," ,E","      9.28","E","     13.25","E","      5.31","E"
"GME00102404","1987","47.6781","9.1908","443.0","KONSTANZ, GM","    147.8","","     147.8","E","       175","E","        91","E","         3","E","       48","","         1","E","        84","E","        30","E","        89","E","         0","E","  -19.0","E,0112, ","   130"," ,E,0111, ","  56.7"," ,E,0925, ","   31.0","E,0630, ","-1.6","E,1204","-3.6","E,1208","-6.0","E,1209","","","","","-0.6","E,0402","-2.2","E,0323","-4.8","E,0315","-7.1","E,0309","-8.9","E,0306","    3559.4","4","    3559.4","E","    845.1"," ,E","      9.26","E","     13.02","E","      5.50","E"
"GME00102404","1988","47.6781","9.1908","443.0","KONSTANZ, GM","    116.9","","     116.9","E","       177","E","       108","E","         5","E","        8","","         0","E","        63","E","         3","E","       103","E","         1","E","   -8.0","E,1122, ","   100"," ,E,1123,+","  35.2"," ,E,0604, ","   32.5","E,0723, ","-1.3","E,1101","-3.0","E,1105","-4.5","E,1121","-8.0","E,1122","","","-0.5","E,0402","-6.1","E,0310","-6.1","E,0310","","","","","    2941.6","6","    2941.6","E","    995.8"," ,E","     10.43","E","     14.35","E","      6.50","E"
"GME00102404","1989","47.6781","9.1908","443.0","KONSTANZ, GM","    142.1","","     142.1","E","       150","E","        81","E","         4","E","        0","","         0","E","        62","E","        18","E","       107","E","         0","E","   -9.0","E,1126, ","    10"," ,E,1128,+","  48.7"," ,E,0710, ","   31.3","E,0821,+","0.0","E,1114","-3.9","E,1124","-5.8","E,1125","-9.0","E,1126","-9.0","E,1126","-1.5","E,0324","-2.2","E,0208","","","","","","","    2960.4","4","    2960.4","E","    772.6"," ,E","     10.44","E","     14.45","E","      6.42","E"
"GME00102404","1990","47.6781","9.1908","443.0","KONSTANZ, GM","    154.4","","     154.4","E","       158","E","        88","E","         3","E","       13","","         0","E","        64","E","        16","E","        95","E","         2","E","   -7.1","E,1208, ","    80"," ,E,1221,+","  49.7"," ,E,0524, ","   32.8","E,0805, ","-0.7","E,1023","-4.2","E,1201","-6.6","E,1207","-7.1","E,1208","","","-2.1","E,0305","-2.8","E,0304","-4.7","E,0114","","","","","    2965.8","8","    2965.8","E","    906.5"," ,E","     10.62","E","     14.82","E","      6.42","E"
"GME00102404","1991","47.6781","9.1908","443.0","KONSTANZ, GM","    192.8","","     192.8","E","       139","E","        76","E","         5","E","        7","","         0","E","        82","E","        31","E","        96","E","         2","E","  -10.8","E,0207,+","    40"," ,E,0216,+","  43.8"," ,E,0511, ","   33.3","E,0807, ","-1.3","E,1022","-2.2","E,1205","-5.7","E,1209","-7.7","E,1210","","","-0.7","E,0425","-2.5","E,0220","-5.5","E,0217","-9.4","E,0214","-9.4","E,0214","    3314.7","7","    3314.7","E","    716.1"," ,E","      9.69","E","     13.69","E","      5.69","E"
"GME00102404","1992","47.6781","9.1908","443.0","KONSTANZ, GM","    237.1","","     237.1","E","       153","E","        90","E","         4","E","       20","","         0","E","        61","E","        18","E","       106","E","         8","E","   -8.6","E,0122, ","   150"," ,E,0120, ","  44.0"," ,E,0624, ","   33.8","E,0809, ","-1.0","E,1019","-2.3","E,1215","-4.7","E,1228","-6.7","E,1230","","","0.0","E,0402","-2.4","E,0301","-5.3","E,0221","-7.7","E,0220","","","    3111.4","4","    3111.4","E","    896.3"," ,E","     10.60","E","     14.51","E","      6.68","E"
"GME00102404","1993","47.6781","9.1908","443.0","KONSTANZ, GM","    154.0","","     154.0","E","       156","E","        83","E","         5","E","        2","","         0","E","        68","E","        19","E","        98","E","         0","E","  -11.3","E,0103, ","    40"," ,E,0303,+","  55.6"," ,E,0705, ","   31.9","E,0822, ","-1.6","E,1118","-3.9","E,1119","-5.2","E,1120","","","","","-3.6","E,0330","-3.6","E,0330","-4.8","E,0309","-6.7","E,0226","-9.0","E,0105","    2959.1","1","    2959.1","E","    859.8"," ,E","     10.09","E","     13.95","E","      6.22","E"
"GME00102404","1994","47.6781","9.1908","443.0","KONSTANZ, GM","    276.7","","     276.7","E","       172","E","        93","E","         3","E","       10","","         0","E","        36","E","         9","E","       100","E","         6","E","   -7.0","E,0215, ","   100"," ,E,0117, ","  51.5"," ,E,0518, ","   34.3","E,0704, ","-1.4","E,1215","-3.5","E,1224","","","","","","","-1.1","E,0404","-4.9","E,0220","-4.9","E,0220","-7.0","E,0215","","","    3199.6","6","    3199.6","E","    869.6"," ,E","     11.21","E","     15.06","E","      7.36","E"
"GME00102404","1995","47.6781","9.1908","443.0","KONSTANZ, GM","    210.7","","     210.7","E","       172","E","        96","E","         6","E","       19","","         0","E","        73","E","        19","E","        82","E","         3","E","  -10.4","E,0106, ","   140"," ,E,1227, ","  46.4"," ,E,1116, ","   34.3","E,0721, ","-1.2","E,1104","-2.3","E,1105","-4.5","E,1207","-6.7","E,1229","","","-3.5","E,0331","-3.5","E,0331","-4.6","E,0328","-7.1","E,0114","-9.0","E,0107","    2919.7","7","    2919.7","E","   1040.2"," ,E","     10.30","E","     14.20","E","      6.40","E"
"GME00102404","1996","47.6781","9.1908","443.0","KONSTANZ, GM","    124.5","","     124.5","E","       141","E","        86","E","         3","E","       25","","         0","E","       100","E","        24","E","        86","E","         1","E","  -12.8","E,1229, ","   120"," ,E,0215, ","  64.9"," ,E,0802, ","   32.9","E,0607, ","-0.7","E,1121","-2.9","E,1123","-7.6","E,1225","-7.6","E,1225","-9.8","E,1226","-0.1","E,0416","-2.4","E,0315","-5.4","E,0314","-7.7","E,0313","","","    3294.5","5","    3294.5","E","    825.1"," ,E","      9.22","E","     13.18","E","      5.27","E"
"GME00102404","1997","47.6781","9.1908","443.0","KONSTANZ, GM","    162.0","","     162.0","E","       120","E","        74","E","         4","E","       25","","         0","E","        63","E","        19","E","        99","E","         0","E","  -10.9","E,0101, ","   100"," ,E,0102,+","  33.5"," ,E,0603, ","   31.3","E,0805, ","-2.2","E,1028","-2.2","E,1028","-5.5","E,1216","","","","","-1.5","E,0422","-2.6","E,0217","-5.8","E,0118","-7.0","E,0115","-10.9","E,0101","    3268.1","1","    3268.1","E","    708.3"," ,E","     10.42","E","     14.70","E","      6.14","E"
"GME00102404","1998","47.6781","9.1908","443.0","KONSTANZ, GM","    221.7","","     221.7","E","       133","E","        77","E","         3","E","       13","","         0","E","        79","E","        19","E","       102","E","        10","E","   -8.4","E,1122, ","   100"," ,E,1208, ","  37.6"," ,E,0911, ","   35.0","E,0812,+","0.0","E,1111","-3.4","E,1118","-4.4","E,1119","-8.4","E,1122","","","-0.3","E,0414","-3.6","E,0326","-5.5","E,0207","","","","","    2902.7","7","    2902.7","E","    773.0"," ,E","     10.55","E","     14.71","E","      6.40","E"
